,UNITID,INSTNM,CITY,STABBR,ZIP,ADM_RATE,UGDS,TUITIONFEE_IN,MN_EARN_WNE_P10
6108,488369,Premier Barber Institute,Norristown,PA,19401-5163,,63.0,,
6121,488749,Paul Mitchell the School-Jessup,Jessup,MD,20794,,132.0,,
6165,490106,Virginia University of Integrative Medicine,Fairfax,VA,22031-5310,,,,
6180,490258,American Barber Academy,Reading,PA,19611-2040,,44.0,,
6198,490443,The Esthetic Institute,Vienna,VA,22182-3818,,145.0,,
6250,491473,Polytech Adult Education,Woodside,DE,19980-0000,,317.0,,
6260,491598,European Medical School of Massage,Sinking Spring,PA,19608-1680,,17.0,,
6263,491631,Women's Institute of Torah Seminary,Baltimore,MD,21215-3009,0.75,72.0,9850.0,
6267,491677,Lehigh Valley Barber School,Bethlehem,PA,18018-3906,,23.0,,
6296,491978,Another Level Barbering and Cosmetology School,Petersburg,VA,23803-3245,,42.0,,
6311,492643,American Massage & Bodywork Institute,Vienna,VA,22182-2245,,83.0,,
6356,11710401,Life Pacific University-Virginia,Christiansburg,VA,24073,,,10060.0,
6381,12697901,Denver Seminary - Washington DC,Landover,MD,207852414,,,,
6394,13090701,Delaware Technical Community College-Owens,Georgetown,DE,19947,,,4904.0,
6395,13090702,Delaware Technical Community College-Stanton/Wilmington,Wilmington,DE,19801,,,4904.0,
6396,13180301,Strayer University-Takoma Park Campus,Washington,DC,20012,,,13380.0,
6461,16210401,Cecil College - Elkton Station,Elkton,MD,219215535,,,4500.0,
6569,20651601,Winebrenner Theological Seminary -,Scotland,PA,172540473,,,,
6574,21078401,The Beauty Institute,Philadelphia,PA,19115,,,,
6575,21130701,Bucks County Community College-Upper Bucks Campus,Perkasie,PA,189440277,,,4513.0,
6576,21130702,Bucks County Community College-Lower Bucks Campus,Bristol,PA,190070277,,,4513.0,
6577,21287801,Harrisburg Area Community College-Lancaster,Lancaster,PA,176023403,,,6683.0,
6578,21287802,Harrisburg Area Community College-Gettysburg,Gettysburg,PA,173253403,,,6683.0,
6579,21287803,Harrisburg Area Community College-Lebanon,Lebanon,PA,170425235,,,6683.0,
6580,21287804,Harrisburg Area Community College-York,York,PA,174045235,,,6683.0,
6581,21429001,New Castle School of Trades,Pulaski,PA,161432522,,,,
6583,21437901,Northampton County Area Community College-Monroe,Tannersville,PA,18372,,,4380.0,
6584,21510501,Villanova University - Summer Music Studies Program,Villanova,PA,190853699,,,,
6585,21608301,South Hills School of Business and Technology-Altoona,Altoona,PA,16602,,,16865.0,
6595,23155401,Bluefield College - Edward Via College of Osteopathic Medicine,Blacksburg,VA,240606832,,,,
6596,23368401,Strayer University-Alexandria Campus,Alexandria,VA,22314,,,13380.0,
6597,23368402,Strayer University-Woodbridge Campus,Woodbridge,VA,22192,,,13380.0,
6598,23368403,Strayer University-Manassas Campus,Manassas,VA,20109,,,13380.0,
6599,23368404,Strayer University-Loudoun Campus,Ashburn,VA,20147,,,13380.0,
6600,23368405,Strayer University-Fredericksburg Campus,Fredericksburg,VA,22406,,,13380.0,
6601,23368407,Strayer University-Henrico Campus,Glen Allen,VA,23059,,,13380.0,
6602,23368408,Strayer University-Chesterfield Campus,Midlothian,VA,23113,,,13380.0,
6603,23368409,Strayer University-Chesapeake Campus,Chesapeake,VA,23320,,,13380.0,
6604,23368410,Strayer University-Newport News Campus,Newport News,VA,23602,,,13380.0,
6605,23368411,Strayer University-Virginia Beach Campus,Virginia Beach,VA,23462,,,13380.0,
6625,24893401,ECPI University-Newport News,Newport News,VA,23606,,,16039.0,
6629,24893405,ECPI University-Manassas,Manassas,VA,201091603,,,16495.0,
6634,24893410,ECPI University-Culinary Institute of Virginia,Norfolk,VA,235131603,,,16039.0,
6635,24893411,ECPI University-Virginia Beach Health Sciences,Virginia Beach,VA,234621603,,,16039.0,
6636,24893412,ECPI University-Richmond South,Richmond,VA,232361603,,,16039.0,
6637,24893413,ECPI University-Innsbrook,Glen Allen,VA,230601603,,,16039.0,
6638,24893414,ECPI University-Richmond West,Richmond,VA,232941603,,,16039.0,
6639,24893415,ECPI University - Roanoke,Roanoke,VA,240121603,,,16039.0,
6641,24893417,ECPI University - Culinary Institute of Virginia - Newport News,Newport News,VA,236063320,,,16039.0,
6653,37593901,YTI Career Institute - Altoona,Altoona,PA,166024457,,,,
6676,43018401,Strayer University-Rockville Campus,Rockville,MD,20850,,,13380.0,
6677,43018402,Strayer University-Anne Arundel Campus,Millersville,MD,21108,,,13380.0,
